english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Clement of Alexandria,Clément d'Alexandrie,Clemens Alexandrinus,Q188883,Clemens of Alexandria,196,"[""Titus Flavius Clemens"", ""Saint Clement""]","[""Cl\u00e9ment d\u2019Alexandrie"", ""Clement d'Alexandrie""]","[""Titus Flavius Clemens"", ""Clemens Alexandrinus Theologus""]","[""Ancient Greek""]"
Philo of Alexandria,Philon d’Alexandrie,Philo Alexandrinus,Q189597,Philon of Alexandria,675,"[""Philo Jud\u00e6us"", ""Philo"", ""Philo Alexandrinus"", ""Philio Alexandrinus"", ""Philio Jud\u00e6us"", ""Philio of Alexandria"", ""Philo Judeaus"", ""Philo the Jew""]","[""Philo Judaeus"", ""Philon d'Alexandrie""]","[""Philo Iudaeus"", ""Philo Judaeus"", ""Philo Philosophus""]","[""Ancient Greek""]"
Appian,Appien,Appianus Alexandrinus,Q190368,Appianos,95,"[""Alexandreos"", ""Appian\u00f2s Alexandre\u00fas"", ""Appianus of Alexandria"", ""Appianus Alexandrinus"", ""Appian of Alexandria""]","[""Appian"", ""Appien d'Alexandrie""]","[""Appianus""]","[""Ancient Greek""]"
Gregory of Nyssa,Grégoire de Nysse,Gregorius Nyssenus,Q191734,Gregorios of Nysa,342,"[""Gregorius Nyssenus"", ""St. Gregory of Nyssa"", ""Gregorius""]","[""Gr\u00e9goire de Nic\u00e9e"", ""Gregoire de Nysse"", ""Saint Gr\u00e9goire de Nysse"", ""saint Gr\u00e9goire de Nysse""]",[],"[""Ancient Greek""]"
Hermes Trismegistus,Hermès Trismégiste,Hermes Trismegistus,Q192358,Anonymi of the Corpus Hermeticum,205,"[""Trismegistus""]","[""Hermes Trismegistus"", ""Herm\u00e8s Trismegiste"", ""Hermes Trismegiste""]","[""Mercurius ter Maximus""]","[""Ancient Greek""]"
Callimachus,Callimaque de Cyrène,Callimachus,Q192417,Kallimachos,480,"[""Kallimachos of Kyrene"", ""Battiades"", ""Callimachus of Cyrene""]","[""Callimaque"", ""Callimaque de Cyrene""]","[""Callimachus Philosophus"", ""Callimachus Cyrenaicus"", ""Callimachus Poeta"", ""Callimachus Cyrenaeus"", ""Callimachus Cyrenensis""]","[""Ancient Greek""]"
Apollonius of Rhodes,Apollonios de Rhodes,Apollonius Rhodius,Q192638,Apollonios of Rhodos,92,"[""Apollonius Rhodius""]","[""Apollonius de Rhodes""]","[""Apollonius Rhodius Epicus""]","[""Ancient Greek""]"
Pausanias,Pausanias le Périégète,Pausanias,Q192931,Pausanias,642,"[""Pausanias Periegetes""]","[""Pausanias"", ""Pausanias le Periegete""]","[""Pausanias Periegetes"", ""Pausanias Periegeta"", ""Pausanias Cappadocius""]","[""Ancient Greek""]"
Archilochus of Paros,Archiloque,Archilochus,Q201323,Archilochos,101,"[""Archilochus of Paros""]","[""Archiloque de Paros""]","[""Archilochus Elegiacus"", ""Archilochus Poeta"", ""Archilochus Iambographus"", ""Archilochus Parius""]","[""Ancient Greek""]"
Chrysippus of Soli,Chrysippe de Soles,Chrysippus,Q211411,Chrysippos,186,"[""Chrysippus""]","[""Chrysippos de Cilicie"", ""Chrysippe de Soli"", ""Chrysippe de Cilicie"", ""Chrysippos de Soles""]","[""Chrysippus Philosophus"", ""Chrysippus Soleus"", ""Chrysippus Stoicus"", ""Chrysippus Solensis""]","[""Ancient Greek""]"
Alcaeus of Mytilene,Alcée de Mytilène,Alcaeus,Q212872,Alkaios,40,"[""Alc\u00e6us"", ""Alcaeus"", ""Alc\u00e6us of Mitylene"", ""Alkaios""]","[""Alc\u00e9e de Lesbos""]","[""Alcaeus Mytilenaeus"", ""Alcaeus Lyricus"", ""Alcaeus Lesbius"", ""Alc\u00e6us Mitylen\u00e6us""]","[""Ancient Greek""]"
Theocritus,Théocrite,Theocritus,Q219484,Theokritos,925,"[""Theocrates""]","[""Theocrite""]","[""Theocritus Bucolicus"", ""Theocritus Syracusanus"", ""Theocritus Syracusius"", ""Theocritus Poeta""]","[""Ancient Greek""]"
Isocrates,Isocrate,Isocrates,Q221182,Isokrates,448,"[""Isokrates"", ""Isokrat\u0113s""]","[""Isocrates""]","[""Isocrates Orator"", ""Isocrates Atheniensis""]","[""Ancient Greek""]"
Achilles Tatius,Achille Tatius,Achilles Tatius,Q221951,Achilleus Tatios,7,"[""Achilleus Tatios""]","[""Achille Tatios"", ""Achilles Tatius""]","[""Achilles Tatius Scriptor eroticus""]","[""Ancient Greek""]"
Sextus Empiricus,Sextus Empiricus,Sextus Empiricus,Q236594,Sextus Empeirikos,847,[],[],"[""Sextus Empiricus Philosophus""]","[""Ancient Greek""]"
Photios I of Constantinople,Photios Ier de Constantinople,Photius I,Q243187,Photios,687,"[""Patriarch Photius I of Constantinople"", ""Photius"", ""Photios"", ""Patriarch Photios I of Constantinople"", ""Photios the Great"", ""Photius I of Constantinople""]","[""Photios de Constantinople"", ""Photius de Constantinople""]","[""Photius Theologus"", ""Photius Lexicographus"", ""Photius"", ""Photius Scriptor ecclesiasticus"", ""Photius Patriarcha Constantinopolitanus"", ""Photius Constantinopolitanus"", ""Photius Philologus"", ""Photius Patriarcha""]","[""Ancient Greek""]"
Libanius,Libanios,Libanius,Q263892,Libanios,520,"[""Libanius Sophista"", ""Libanius of Antioch"", ""Libanius the Sophist"", ""Libanios""]",[],"[""Libanius Sophista"", ""Libanius Rhetor"", ""Libanius Antiochenus""]","[""Ancient Greek""]"
Proclus,Proclus,Proclus,Q271809,Proklos,720,"[""Proclus Lycaeus""]","[""Proklos"", ""Proclus Diadochus"", ""Proclos""]","[""Proclus Lycius"", ""Proclus Philosophus"", ""Proclus Atheniensis"", ""Proclus Diadochus""]","[""Ancient Greek""]"
Epiphanius of Salamis,Épiphane de Salamine,Epiphanius,Q313922,Epiphanios,277,"[""Epiphanius of Constantia"", ""St. Epiphanius"", ""Epiphanius""]","[""Epiphane de Salamine"", ""Saint \u00c9piphane de Salamine""]","[""Epiphanius Constantiae"", ""Epiphanius Salamiensis"", ""Epiphanius Salaminis episcopus"", ""Epiphanius Constantiensis"", ""Epiphanius Cyprius""]","[""Ancient Greek""]"
Longus,Longus,Longus,Q314949,Longos,2857,[],[],"[""Longus Sophista"", ""Longus Scriptor eroticus""]","[""Ancient Greek""]"
Simonides of Ceos,Simonide de Céos,Simonides,Q273003,Simonides of Keos,857,"[""Simonides of Keos"", ""Simonides""]","[""Simonide de Ceos"", ""Simonide""]","[""Simonides Ceus"", ""Simonides Lyricus""]","[""Ancient Greek""]"
Athenaeus,Athénée,Athenaeus Naucratites,Q294923,Athenaios,135,"[""Athen\u00e6us"", ""Athenaeus of Naucratis""]","[""Ath\u00e9n\u00e9e de Naucratis"", ""Athenaeus"", ""Athenee"", ""Ath\u00e9naios""]","[""Athenaeus Sophista"", ""Athenaeus"", ""Athenaeus Naucratita""]","[""Ancient Greek""]"
Alcman,Alcman,Alcman,Q298850,Alkman,42,[],[],"[""Alcman Lyricus"", ""Alcman Lacedaemonius""]","[""Ancient Greek""]"
Lysias,Lysias,Lysias,Q310164,Lysias,534,[],[],"[""Lysias Orator"", ""Lysias Atheniensis""]","[""Ancient Greek""]"
Bacchylides,Bacchylide,Bacchylides,Q310681,Bakchylides,146,[],"[""Bacchylide de C\u00e9os""]","[""Bacchylides Lyricus"", ""Bacchylides Ceus""]","[""Ancient Greek""]"
Iamblichus,Jamblique,Iamblichus,Q310916,Iamblichos of Chalkis,2596,"[""Iamblichus of Chalcis""]","[""Iamblichus"", ""Jamblique de Chalcis"", ""Jamblique de Tyr""]","[""Abammon Syrus"", ""Iamblichus Philosophus"", ""Iamblichus Chalcidensis""]","[""Ancient Greek""]"
Nonnus of Panopolis,Nonnos de Panopolis,Nonnus,Q312916,Nonnos of Panopolis,604,"[""Nonnus""]",[],"[""Nonnus Panopolitanus"", ""Nonnus Epicus""]","[""Ancient Greek""]"
Heliodorus of Emesa,Héliodore d’Émèse,Heliodorus Emesenus,Q313011,Heliodoros of Emesa,1274,"[""Heliodorus""]","[""Heliodore d'Emese"", ""H\u00e9liodore""]","[""Heliodorus Scriptor eroticus"", ""Heliodorus""]","[""Ancient Greek""]"
Aelian,Claude Élien,Claudius Aelianus,Q313782,Ailianos,22,"[""Ailianos"", ""Claudius Aelianus"", ""\u00c6lian"", ""Claudius \u00c6lianus""]","[""\u00c9lien le Sophiste"", ""\u00c6lianus"", ""Claudius Aelianus"", ""\u00c6lien""]","[""Aelianus""]","[""Ancient Greek""]"
Anaxagoras,Anaxagore de Clazomènes,Anaxagoras,Q83041,Anaxagoras,1538,"[""Anaxagoras of Clazomenae""]","[""Anaxagore de Clazomenes"", ""Anaxagoras"", ""Anaxagore de Clazom\u00e8ne""]","[""Anaxagoras Clazomenius""]","[""Ancient Greek""]"
Empedocles,Empédocle,Empedocles,Q83375,Empedokles,267,[],"[""Emp\u00e9docle d'Agrigente"", ""Emp\u00e9docle d\u2019Agrigente"", ""Empedocle d'Agrigente""]","[""Empedocles Philosophus""]","[""Ancient Greek""]"
Arius,Arius,Arius,Q106026,Areios,104,"[""Arius of Alexandria""]","[""Arius d'Alexandrie""]","[""Arius Alexandrinus"", ""Arius Haeresiarcha""]","[""Ancient Greek""]"
Demosthenes,Démosthène,Demosthenes,Q117253,Demosthenes,226,"[""Dimosthenis""]",[],"[""Demosthenes Atheniensis"", ""Demosthenes Orator""]","[""Ancient Greek""]"
Menander,Ménandre,Menander,Q118992,Menandros,571,"[""Menander of Athens""]","[""Menandre""]","[""Menander Atheniensis"", ""Menander Comicus""]","[""Ancient Greek""]"
Parmenides,Parménide,Parmenides,Q125551,Parmenides,3340,"[""Parmenides of Elea""]","[""Parmenide"", ""Parm\u00e9nide d'\u00c9l\u00e9e"", ""Parmenides""]","[""Parmenides Philosophus"", ""Parmenides Poeta"", ""Parmenides Eleaticus""]","[""Ancient Greek""]"
Xenophon,Xénophon,Xenophon,Q129772,Xenophon,972,"[""Xenophon of Athens""]","[""Xenophon""]","[""Xenophon Atheniensis"", ""Xenophon Historicus""]","[""Ancient Greek""]"
Polybius,Polybe,Polybius,Q131169,Polybios,700,"[""Polybius of Megalopolis""]","[""Pol\u00fabios"", ""Polybius""]","[""Polybius Megalopolitanus"", ""Polybius Historicus""]","[""Ancient Greek""]"
Xenophanes,Xénophane,Xenophanes,Q131671,Xenophanes of Kolophon,4776,"[""Xenophanes of Colophon""]","[""X\u00e9nophane de Colophon"", ""Xenophane de Colophon""]","[""Xenophanes Philosophus"", ""Xenophanes Poeta"", ""Xenophanes Colophonius""]","[""Ancient Greek""]"
Solon,Solon,Solon,Q133337,Solon,864,"[""Solon of Athens""]","[""Solon d'Ath\u00e8nes""]","[""Solon Nomographus"", ""Solon Atheniensis"", ""Solon Philosophus"", ""Solon Poeta""]","[""Ancient Greek""]"
Plotinus,Plotin,Plotinus,Q134189,Plotinos,3481,"[""Plotinos""]",[],"[""Plotinus Lycopolitanus"", ""Plotinus Philosophus""]","[""Ancient Greek""]"
Josephus,Flavius Josèphe,Flavius Iosephus,Q134461,Flavius Iosephos,318,"[""Flavius Iosephus"", ""Flavius Josephus"", ""Joseph ben Matityahu"", ""Titus Flavius Josephus""]","[""Josephus"", ""Titus-Flauius Josephus"", ""Titus Flauius Josephus"", ""Flavius Josephe"", ""Yossef ben Matityahou"", ""Titus Flavius Jos\u00e8phe"", ""Titus-Flavius Jos\u00e8phe"", ""Jos\u00e8phe ben Mattatias""]","[""Iosephus Historicus"", ""Flavius Josephus"", ""Josephus Historicus""]","[""Ancient Greek""]"
Pindar,Pindare,Pindarus,Q134929,Pindaros,690,"[""Pindaros"", ""Dirc\u00e6an Swan"", ""Pindarus""]",[],"[""Pindarus Lyricus"", ""Pindarus Boeotus"", ""Pindarus Poeta""]","[""Ancient Greek""]"
Eusebius of Caesarea,Eusèbe de Césarée,Eusebius Caesariensis,Q142999,Eusebios,300,"[""Eusebius Pamphili"", ""Eusebius""]",[],"[""Eusebius Scriptor ecclesiasticus"", ""Eusebius Pamphili"", ""Eusebius Pamphilus"", ""Eusebius Theologus""]","[""Ancient Greek""]"
Theophrastus,Théophraste,Theophrastus,Q160362,Theophrastos,931,"[""Theophrastus of Eresos"", ""Theophr.""]","[""Theophrastus"", ""Theophr."", ""Th\u00e9ophraste d'Ath\u00e8nes"", ""Theophraste""]","[""Theophrastus Eresius"", ""Theophrastus Philosophus"", ""Tyrtamus""]","[""Ancient Greek""]"
Protagoras,Protagoras,Protagoras,Q169243,Protagoras Abderita,8079,"[""Protagoras of Abdera""]","[""Protagoras d\u2019Abd\u00e8re"", ""Protagoras d'Abd\u00e8re""]","[""Protagoras Sophista"", ""Protagoras Abderita""]","[""Ancient Greek""]"
Diodorus Siculus,Diodore de Sicile,Diodorus Siculus,Q171241,Diodoros of Sicily,234,"[""Diodoros of Sicily"", ""Diodorus"", ""Diodorus of Sicily"", ""Diodoros""]","[""Diodorus Siculus""]","[""Diodorus"", ""Diodorus Siculus Historicus""]","[""Ancient Greek""]"
Lucian of Samosata,Lucien de Samosate,Lucianus Samosatensis,Q177847,Loukianos,524,"[""Lucian"", ""Lucianus"", ""Loukianos"", ""Lucianus Samosatenus""]",[],"[""Lucianus Sophista"", ""Lucianus""]","[""Ancient Greek""]"
Aratus,Aratos de Soles,Aratus Solensis,Q180671,Aratos,99,"[""Aratus of Soli""]","[""Aratus de Soli"", ""Aratos"", ""Aratus""]","[""Aratus""]","[""Ancient Greek""]"
Irenaeus,Irénée de Lyon,Irenaeus,Q182123,Eirenaios,438,"[""Iren\u00e6us"", ""Irenaeus of Lyon""]","[""Irenee de Lyon"", ""Saint Ir\u00e9n\u00e9e de Lyon"", ""Irenaeus"", ""Iranaeus""]","[""Irenaeus Theologus"", ""Irenaeus Lugdunensis"", ""Sanctus Irenaeus""]","[""Ancient Greek""]"
Epictetus,Épictète,Epictetus,Q183144,Epiktetos,276,"[""Epiktetos"", ""Epictetus of Hierapolis""]","[""Epictete"", ""Epict\u00e8te""]","[""Epictetus Philosophus"", ""Epictetus Hierapolitanus""]","[""Ancient Greek""]"
Justin Martyr,Justin de Naplouse,Iustinus Martyr,Q185117,Iustinus martyr,467,"[""Saint Justin"", ""Justin"", ""Iustinus Martyr"", ""Justin the Philosopher"", ""St. Justin""]","[""Justin martyr"", ""Justin le Martyr""]",[],"[""Ancient Greek""]"
Cassius Dio,Dion Cassius,Cassius Dio,Q185223,Cassius Dion,172,"[""Dio Cassius"", ""Dion Cassius""]","[""Dio Cassius"", ""Cassius Dio"", ""Cassius Dion""]","[""Dio Cassius Historicus"", ""Dio Cassius"", ""Cassius Dio Cocceianus"", ""Lucius Cassius Dio Cocceianus"", ""Cassius Dio Historicus""]","[""Ancient Greek""]"
Posidonius,Posidonios,Posidonius Apameus,Q185770,Poseidonios of Apameia,710,"[""Poseidonios"", ""Posidonius of Apamea""]","[""Posidonios de Rhodes"", ""Poseidonios d'Apam\u00e9e"", ""Poseidonios"", ""Posidonius d'Apam\u00e9e"", ""Poseid\u00f4nios"", ""Posidonios d'Apam\u00e9e"", ""Posidonius"", ""Posidonius de Rhodes""]","[""Posidonius Philosophus"", ""Posidonius"", ""Posidonius Rhodius""]","[""Ancient Greek""]"
Ephrem the Syrian,Éphrem le Syriaque,Ephraem Syrus,Q200608,Ephraem Graecus,272,"[""Ephraem Syrus"", ""Ephraim the Syrian""]","[""Saint Ephrem le Syrien"", ""Ephrem le Syrien"", ""\u00c9phr\u00e8me le Syrien"", ""Ephraem le Syrien"", ""\u00c9phrem de Nisibe"", ""\u00c9phrem le Syrien""]","[""Ephraem Graecus""]","[""Syriac""]"
Ephrem the Syrian,Éphrem le Syriaque,Ephraem Syrus,Q200608,Ephraem of Syria,273,"[""Ephraem Syrus"", ""Ephraim the Syrian""]","[""Saint Ephrem le Syrien"", ""Ephrem le Syrien"", ""\u00c9phr\u00e8me le Syrien"", ""Ephraem le Syrien"", ""\u00c9phrem de Nisibe"", ""\u00c9phrem le Syrien""]","[""Ephraem Graecus""]","[""Syriac""]"
Tatian,Tatien le Syrien,Tatianus,Q272087,Tatianos,900,"[""Tatianus"", ""Tatian the Syrian""]","[""Tatien""]","[""Tatianus Syrus"", ""Tatianus Assyrius""]","[""Syriac""]"
Theodoret,Théodoret de Cyr,Theodoretus,Q317029,Theodoretos,912,"[""Theodoret of Cyrrhus""]","[""Th\u00e9odoret"", ""Theodoret"", ""Theodoret de Cyr""]","[""Theodoretus Scriptor ecclesiasticus"", ""Theodoretus Theologus"", ""Theodoretus Cyrrhensis""]","[""Ancient Greek""]"
Aeschines,Eschine,Aeschines,Q317089,Aischines orator,23,"[""\u00c6schines""]",[],"[""\u00c6schines"", ""Aeschines Orator"", ""Aeschines Atheniensis""]","[""Ancient Greek""]"
Alexandros of Aphrodisias,Alexandre d’Aphrodise,Alexander Aphrodisiensis,Q317146,Alexandros of Aphrodisias,1461,"[""Alexander of Aphrodisias""]","[""Alexandre d'Aphrodisias"", ""Alexandre d'Aphrodisie""]",[],"[""Ancient Greek""]"
John Philoponus,Jean Philopon,Iohannes Philoponus,Q317632,Ioannes Philoponos,426,"[""Johannes Philoponus"", ""Philoponus""]","[""Johannes Philoponus"", ""Jean Philopone"", ""Jean Philoppon"", ""Philopon""]","[""Johannes Philoponus"", ""Iohannes Grammaticus"", ""Johannes Grammaticus"", ""Philoponus""]","[""Ancient Greek""]"
Hippocrates,Hippocrate,Hippocrates,Q5264,Hippokrates,390,"[""Hippocrates II"", ""Hippokrates"", ""Hippokrates of Kos"", ""Hippocrates of Cos""]",[],"[""Hippocrates Cous"", ""Hippocrates Medicus""]","[""Ancient Greek""]"
Homer,Homère,Homerus,Q6691,Homeros,393,"[""Homeros"", ""Homerus"", ""M\u00e6onides""]",[],"[""Homerus Epicus""]","[""Ancient Greek""]"
Sophocles,Sophocle,Sophocles,Q7235,Sophokles,865,[],[],"[""Sophocles Tragicus"", ""Sophocles tragicus""]","[""Ancient Greek""]"
Archimedes,Archimède,Archimedes,Q8739,Archimedes,102,"[""Archimedes of Syracuse""]","[""Archim\u00e8de de Syracuse""]",[],"[""Ancient Greek""]"
Euclid,Euclide,Euclides,Q8747,Eukleides,293,"[""Euclides"", ""Eukleides"", ""Euclid of Alexandria""]",[],"[""Euclides Alexandrinus"", ""Euclides Mathematicus"", ""Euclides Geometra""]","[""Ancient Greek""]"
Galen,Claude Galien,Claudius Galenus,Q8778,Galenos,326,"[""Galen of Pergamon"", ""Aelius Galenus"", ""Claudius Galenus""]","[""Claudius Galenus"", ""Galien""]","[""Galenus"", ""Galenus Medicus"", ""Galenus Pergamenus""]","[""Ancient Greek""]"
Sappho,Sappho,Sappho,Q17892,Sappho,827,"[""Sapphus"", ""Sapho"", ""Psappho""]","[""Sapho""]","[""Sappho Lesbia"", ""Sappho Lyrica"", ""Sappho Poeta""]","[""Ancient Greek""]"
Dionysius of Halicarnassus,Denys d'Halicarnasse,Dionysius Halicarnasseus,Q26204,Dionysios of Halikarnassos,247,"[""Dionysios of Halikarnassos""]","[""Denys d'Halycarnasse""]","[""Dionysius Halicarnassensis"", ""Dionysius Halicarnassensis Historicus"", ""Dionysius Halicarnassensis Rhetor""]","[""Ancient Greek""]"
Herodotus,Hérodote,Herodotus,Q26825,Herodotos,376,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Father of History""]","[""H\u00e9rodote d'Halicarnasse"", ""Herodote"", ""H\u00e9rodote de Thourioi""]","[""Herodotus Halicarnassensis""]","[""Ancient Greek""]"
Arrian,Arrien,Lucius Flavius Arrianus,Q31845,Arrianos,123,"[""Arrian of Nicomedia"", ""Lucius Flavius Arrianus"", ""Flavius Arrian""]","[""Arrien de Nicom\u00e9die""]","[""Arrianus Bithynius"", ""Arrianus Nicomediensis"", ""Arrianus"", ""Flavius Arrianus"", ""Arrianus Historicus""]","[""Ancient Greek""]"
Julian,Julien,Flavius Claudius Iulianus,Q33941,Iulianus imperator,451,"[""Julian III"", ""Julianus II"", ""Julianus III"", ""Flavius Claudius Julianus"", ""Julian the Apostate"", ""Flavius Claudius Iulianus"", ""Julian II""]","[""Flavius Claudius Julianus"", ""Julien l\u2019Apostat"", ""Julien le philosophe"", ""Julien l'apostat"", ""Julien II dit l'Apostat"", ""Julien II""]","[""Julianus Apostata"", ""Iulianus II"", ""Iulianus"", ""Flavius Claudius Julianus"", ""Iulianus Pius"", ""Iulianus Apostata"", ""Iulianus Imperator""]","[""Ancient Greek""]"
Ptolemy,Claude Ptolémée,Claudius Ptolemaeus,Q34943,Claudius Ptolemaios,192,"[""Klaudios Ptolemaios"", ""Claudius Ptolemaeus"", ""Claudius Ptolemeus"", ""Claudius Ptolemy""]","[""Claudius Ptolemaeus"", ""Claudius Ptolemeus""]","[""Ptolemaeus"", ""Ptolemaeus Alexandrinus"", ""Claudius Ptolem\u00e6us"", ""Ptolem\u00e6us"", ""Ptolemaeus Astrologus"", ""Ptolemaeus Mathematicus""]","[""Ancient Greek""]"
Aeschylus,Eschyle,Aeschylus,Q40939,Aischylos,25,"[""Aeschylos"", ""\u00c6schylus""]","[""\u00c9chille"", ""\u00c9schyle"", ""Aiskh\u00falos""]","[""Aeschylus Tragicus"", ""Aeschylus Atheniensis"", ""Aeschylus tragicus""]","[""Ancient Greek""]"
Heraclitus,Héraclite,Heraclitus,Q41155,Herakleitos of Ephesos,1047,"[""Heraclitus of Ephesus"", ""Weeping Philosopher""]","[""Heraklit"", ""H\u00e9raclite d'Eph\u00e8se"", ""Heraclite"", ""H\u00e9raclite d'\u00c9ph\u00e8se""]","[""Heraclitus Ephesius"", ""Heraclitus Philosophus""]","[""Ancient Greek""]"
Plutarch,Plutarque,Plutarchus,Q41523,Ploutarchos,698,"[""Plutarch of Chaeronea"", ""Ploutarchos"", ""Lucius Mestrius Plutarchus"", ""Plutarchus"", ""Plutarchos""]","[""Plutarque de Ch\u00e9ron\u00e9e""]","[""Plutarchus Philosophus"", ""Plutarchus Chaeronensis"", ""Plutarchus Biographus"", ""L. Mestrius Plutarchus""]","[""Ancient Greek""]"
Thucydides,Thucydide,Thucydides,Q41683,Thoukydides,937,[],"[""Thucidide"", ""Thucydide d'Ath\u00e8nes""]","[""Thucydides Historicus"", ""Thucydides Atheniensis""]","[""Ancient Greek""]"
Democritus,Démocrite,Democritus,Q41980,Demokritos,225,"[""Demokritos"", ""Democritus of Abdera"", ""Laughing Philosopher""]","[""D\u00e9mocrite d'Abd\u00e8re"", ""Democritus""]","[""Democritus Philosophus"", ""Democritus Abderita""]","[""Ancient Greek""]"
Clement I,Clément de Rome,Clemens I,Q42887,Clemens of Rome,197,"[""Saint Clemens"", ""Clement the Bishop"", ""St. Clement"", ""St. Clemens"", ""Saint Clement"", ""Clemens"", ""Clemens Romanus"", ""Pope Saint Clement I"", ""San Clemente"", ""Pope Klyment I"", ""Clemens the Bishop"", ""Clement"", ""Clemens I"", ""Pope Klemens I"", ""Saint Clement I"", ""Clement of Rome"", ""Flavius Clemens"", ""Pope Kelemen I"", ""Pope Clement I""]","[""Clement Ier"", ""Cl\u00e9ment Romain"", ""Cl\u00e9ment 1er"", ""Saint Clement"", ""Cl\u00e9ment Ier""]","[""Sanctus Clemens"", ""Sanctus Clemens PP. I"", ""Papa Clemens I"", ""Clemens Romanus"", ""Sanctus Clemens I""]","[""Ancient Greek""]"
Epicurus,Épicure,Epicurus,Q43216,Epikouros,275,"[""Ep\u00edkouros"", ""Epikouros""]","[""Epicure"", ""Epicurus""]","[""Epicurus Samius"", ""Epicurus Philosophus""]","[""Ancient Greek""]"
Aristophanes,Aristophane,Aristophanes,Q43353,Aristophanes,117,"[""Father of Comedy""]",[],"[""Aristophanes Comicus""]","[""Ancient Greek""]"
Aesop,Ésope,Aesopus,Q43423,Aisopos,26,"[""Aesopus"", ""\u00c6\u017fop"", ""\u00c6sop"", ""Esop"", ""E\u017fope""]","[""Esope"", ""Aesopus""]","[""Aesopus Scriptor fabularum""]","[""Ancient Greek""]"
John Chrysostom,Jean Chrysostome,Ioannes Chrysostomus,Q43706,Ioannes Chrysostomos,416,"[""Ioannes Crisostomus"", ""Saint John Chrysostom"", ""Joannes Chrysostomus"", ""Chryssorhoas"", ""Giovanni Crisostomo"", ""John I Chrysostom"", ""Chrysostomus"", ""St. John Chrysostom"", ""Joannes Chrysostomos"", ""Johannes Chrysostomus"", ""Iohannes Antiochiensis""]","[""Jean Ier Chrysostome"", ""saint Jean Bouche d\u2019Or"", ""Jean Chrysost\u00f4me""]","[""Johannes Chrysostomus Scriptor ecclesiasticus"", ""Iohannes Chrysostomus"", ""Iohannes Chrysostomus Scriptor ecclesiasticus"", ""Sanctus Iohannes Chrysostomus""]","[""Ancient Greek""]"
Gregory of Nazianzus,Grégoire de Nazianze,Gregorius Nazianzenus,Q44011,Gregorios of Nazianzos,341,"[""St. Gregory Nazianzen"", ""St. Gregory of Nazianzus"", ""Gregory the Theologian"", ""Gregory Nazianzen"", ""Gregorius Nazianzenus"", ""Grigorios Nazianzenos""]","[""Gr\u00e9goire le Th\u00e9ologien"", ""Saint Gr\u00e9goire de Nazianze"", ""Gr\u00e9goire de Naziance"", ""Gregoire de Nazianze""]","[""Gregorius Theologus"", ""Gregorius Nazianzenus Theologus""]","[""Ancient Greek""]"
Basil of Caesarea,Basile de Césarée,Basilius Caesariensis,Q44258,Basileios of Kaisareia,154,"[""Saint Basil the Great"", ""Basilius Magnus"", ""St. Basil The Great""]","[""Basile Le Grand"", ""Basile de Cesaree"", ""Saint Basile de C\u00e9sar\u00e9e"", ""Saint Basile le Grand""]","[""Basilius Magnus""]","[""Ancient Greek""]"
Strabo,Strabon,Strabo,Q45936,Strabon,886,"[""Strabo of Amaseia""]","[""Strabon d\u2019Amas\u00e9e""]","[""Strabo Geographus"", ""Strabo Amasiotes""]","[""Ancient Greek""]"
Euripides,Euripide,Euripides,Q48305,Euripides,299,[],[],"[""Euripides Tragicus""]","[""Ancient Greek""]"
Athanasius of Alexandria,Athanase d'Alexandrie,Athanasius Alexandrinus,Q44024,Athanasios,134,"[""Athanasius the Confessor"", ""Sint Atanaze d\u2019 Alegzandreye"", ""Athanasius Alexandrinus"", ""Athanasius"", ""Athanasius the Apostolic"", ""Athanasius the Great"", ""Athanasios of Alexandria"", ""Saint Athanasius"", ""Athanasius Contra Mundum"", ""Athanasius I of Alexandria""]","[""Saint Athanase d\u2019Alexandrie"", ""Athanase le Grand"", ""Athanase Ier"", ""Athanasien"", ""Athanase d\u2019Alexandrie""]","[""Athanasius Magnus""]","[""Ancient Greek""]"
Cyril of Alexandria,Cyrille d'Alexandrie,Cyrillus Alexandrinus,Q44079,Kyrillos of Alexandria,505,"[""Cyrillus Alexandrinus"", ""Doctor of the Incarnation""]","[""Cyrille""]",[],"[""Ancient Greek""]"
Ignatius of Antioch,Ignace,Ignatius Antiochenus,Q44170,Ignatios of Antiocheia,412,"[""Ignatius Antiochenus"", ""St. Ignatius"", ""Saint Ignatius of Antioch""]","[""Saint Ignace d'Antioche"", ""Ignace d\u2019Antioche""]","[""Ignatius Antiochensis""]","[""Ancient Greek""]"
Hesiod,Hésiode,Hesiodus,Q44233,Hesiodos,381,"[""Hesiod of Ascra"", ""Hesiodus""]","[""Hesiode"", ""H\u00e9siode d'Ascra""]","[""Hesiodus Ascraeus"", ""Hesiodus Epicus""]","[""Ancient Greek""]"
Stesichorus,Stésichore,Stesichorus,Q332797,Stesichoros,884,[],"[""St\u00e8sichore de Metauros"", ""St\u00e9sichore d'Him\u00e8re"", ""Stesichore""]","[""Stesichorus Lyricus"", ""Stesichorus Himeraeus"", ""Stesichorus Poeta""]","[""Ancient Greek""]"
