Unnamed: 0,# items,# collections,Short name,First names,Surname,Sex,City of birth,Date of birth,City of death,Date of death,Collections,VIAF ID (https://viaf.org),Publisher CERL ID,Notes,Bibliography,Normalised date of birth,Normalised date of death,Earliest edition year,Relations
158,27,22,"Firmicus Maternus, Julius",Julius,Firmicus Maternus,Male,,c. 300,,,,http://viaf.org/viaf/5015147967361884200009/,,lived in the reign of Constantine I (306 to 337 AD) and his successors,,300,,1499,
159,26,24,Aelianus Tacticus,Aelianus Tacticus,-,Male,,fl. 2nd century,,,,http://viaf.org/viaf/72639048/,,,,150,,1535,
160,26,25,Artemidorus Daldianus,Artemidorus,Daldianus,Male,,fl. 150,,,,http://viaf.org/viaf/61683125/,,,,150,,1518,
161,26,24,"Solinus, Gaius Julius",Gaius Julius,Solinus,Male,,fl. 250,,,,http://viaf.org/viaf/51672454/,,,,250,,1515,
162,25,24,Verrius Flaccus,Marcus,Verrius Flaccus,Male,Palestrina,c. 55 BCE,,c. 20,,http://viaf.org/viaf/13153593741251671199/,,,,-55,20.0,1559,
163,25,24,Nonius Marcellus,Nonius Marcellus,-,Male,,fl. 350,,,,http://viaf.org/viaf/59182520/,,,,350,,1476,
164,24,21,"Palladius, Rutilius Taurus Aemilianus",Rutilius Taurus Aemilianus,Palladius,Male,,fl. 400,,,,http://viaf.org/viaf/54143112/,,,,400,,1472,
165,24,23,Macarius of Egypt (saint),Macarius,-,Male,Egypte,300,,391,,http://viaf.org/viaf/93095832/,,,,300,391.0,1559,
166,23,23,Albinovanus Pedo,Albinovanus Pedo,-,Male,,fl. 10,,,,http://viaf.org/viaf/8826150033013511180002/,,friend of Ovid,,10,,1703,
167,23,22,Epiphanius (Saint),-,Epiphanius,Male,,c. 315,,403,,http://viaf.org/viaf/13651211/,,,,315,403.0,1544,
168,22,18,Oribasius,Oribasius,-,Male,,326,,403,,http://viaf.org/viaf/7440344/,,,,326,403.0,1544,
169,21,19,"Chrysologus, Petrus (saint)",Petrus,Chrysologus,Male,Imola,c. 400,Imola,c. 450,,http://viaf.org/viaf/71362351/,,,,400,450.0,1534,
170,20,19,"Rutilius Namatianus, Claudius",Claudius,Rutilius Namatianus,Male,Toulouse,fl. 400,,,,http://viaf.org/viaf/102333340/,,,,400,,1583,
171,20,20,Isidore of Pelusium (saint),-,Isidore of Pelusium,Male,,355,,440,,http://viaf.org/viaf/63872189/,,,,355,440.0,1586,
172,20,20,Diophantus of Alexandria,Diophantus of Alexandria,-,Male,Alexandria,c. 200,,c. 290,,http://viaf.org/viaf/276517028/,,,,200,290.0,1585,
173,20,20,Priscianus Caesariensis,Priscianus Caesariensis,-,Male,Cherchell,5th cent.,,6th cent.,,,,,,450,550.0,1476,
174,19,18,Apollinaris of Laodicea,Apollinaris of Laodicea,-,Male,Laodicea,c. 310,,c. 390,,http://viaf.org/viaf/261762494/,,"Évêque de Laodicée, Syrie (vers 360). - Théologien et poète. - A l'origine de la secte des apollinaristes. - Sa doctrine sur l'incarnation fut condamnée par le concile de Constantinople en 381",,310,390.0,1552,
175,19,16,Lucilius,Gaius,Lucilius,Male,,c. 180 BCE,,c. 102 BCE,,http://viaf.org/viaf/89131128/,,,,-180,-102.0,1579,
176,19,18,"Pfeffel, Christian Frédéric",Christian Frédéric,Pfeffel,Male,Colmar,03-10-1726,,20-03-1807,,http://viaf.org/viaf/49354470/,,,,6,11.0,1754,
177,18,18,Polycarp (saint),Polycarp,-,Male,,c. 69,Smyrna (İzmir),c. 155,,http://viaf.org/viaf/2475604/,,,,69,155.0,1498,
178,18,16,Eunapius,Eunapius,-,Male,Sardes,347,,420,,http://viaf.org/viaf/100215825/,,,,347,420.0,1516,
179,18,16,Caelius Aurelianus,Caelius Aurelianus,-,Male,,fl. 450,,,,http://viaf.org/viaf/102322199/,,,,450,,1529,
180,18,17,Philostorgius,Philostorgius,-,Male,,368,,433,,http://viaf.org/viaf/88747658,,"born in Borissus, Cappadocia (modern Turkey)",,368,433.0,1642,
181,16,15,Xenophon of Ephesus,Xenophon of Ephesus,-,Male,,fl. 2nd cent.,,,,http://viaf.org/viaf/83987541/,,,,150,,1716,
182,16,15,Demetrius Phalereus,Demetrius Phalereus,-,Male,Athens,c. 350 BCE,Egypte,c. 280 BCE,,http://viaf.org/viaf/22955539,,"boen Phalerum, an ancient port of Athens.",,-350,-280.0,1552,
183,16,13,Heron of Alexandria,Heron of Alexandria,-,Male,Alexandria,c. 10,,c. 70,,http://viaf.org/viaf/50151776733818010028/,,Heron Alexandrinus,,10,70.0,1572,
184,16,16,"Polynière, Pierre",Pierre,Polynière,Male,,08-09-1671,,09-02-1734,,http://viaf.org/viaf/74913454/,,,,8,5.0,1709,
185,16,16,Sallust (philosopher),Sallustius,-,Male,,fl. 4th century,,,,http://viaf.org/viaf/104162705/,,,,350,,1638,
186,15,13,Colluthus,Colluthus,-,Male,Lycopolis,fl. 500,,,,http://viaf.org/viaf/62351876/,,,,500,,1612,
187,15,15,Aemilius Probus,Aemilius Probus,-,Male,,fl. 4th century,,,,http://viaf.org/viaf/141499566/,,,,350,,1470,
188,14,13,pseudo-Scylax of Caryanda,pseudo-Scylax of Caryanda,-,Unknown,,fl. 330,,,,http://viaf.org/viaf/291988135/,,,,330,,1629,
189,13,10,Sextus Pomponius,Sextus Pomponius,-,Male,,fl. 150,,,,http://viaf.org/viaf/67261809/,,,,150,,1661,
190,12,10,Valerius Probus,Marcus,Valerius Probus,Male,Beirut,c. 20,,105,,http://viaf.org/viaf/90633449/,,M. Valerius Probus Berytius or Probus the Berytian,,20,105.0,1512,
191,11,11,Chariton Aphrodisiensis,Chariton,Chariton Aphrodisiensis,Male,,c. 100,,,,http://viaf.org/viaf/27062313/,,,,100,,1750,
192,11,10,"Bezout, Étienne",Étienne,Bezout,Male,Nemours,31-03-1730,Basses-Loges,27-09-1783,,http://viaf.org/viaf/76375563/,,,,17,18.0,1764,
193,10,8,Polemon of Laodicea,Marcus Antonius,Polemon of Laodicea,Male,Laodicea,c. 90,,c. 144,,http://viaf.org/viaf/79012427/,,"born Laodicea on the Lycus (now Eskihisar, Denizli, Turkey)",,90,144.0,1545,
194,10,10,Procopius of Gaza,Procopius of Gaza,-,Male,Gaza,c. 465,,c. 528,,http://viaf.org/viaf/48159479/,,,,465,528.0,1580,
195,10,7,Rufus of Ephesus,Rufus of Ephesus,-,Male,Ephesus,c. 70,,c. 110,,http://viaf.org/viaf/9952158070769008780003/,,,,70,110.0,1552,
196,10,10,"Sainte-Foix Arcq, Philippe-Auguste de",Philippe-Auguste de,Sainte-Foix Arcq,Male,Paris,12-07-1721,Paris,05-02-1795,,http://viaf.org/viaf/14883502/,,,,9,3.0,1753,
197,10,10,"Rutilius Lupus, Publius (rhetorician)",Publius,Rutilius Lupus,Male,,fl. 20,,,,http://viaf.org/viaf/100211635/,,,,20,,1540,
198,10,10,"Démeunier, Jean-Nicolas",Jean-Nicolas,Démeunier,Male,Nozeroy,15-03-1751,,07-02-1814,,http://viaf.org/viaf/46770347/,,,,9,4.0,1715,
199,9,9,Gregory Thaumaturgus (saint),Gregory Thaumaturgus,-,Male,,c. 213,,c. 270,,http://viaf.org/viaf/88726043/,,"boen in Neocaesarea (modern Niksar)
died Pontus (Anatolia)",,213,270.0,1604,
200,8,8,Alcinous,Alcinous,-,Male,,fl. 150,,,,http://viaf.org/viaf/301986016/,,,,150,,1572,
201,8,7,Hephaestion Alexandrinus,Hephaestion Alexandrinus,-,Male,Alexandria,fl. 150,,,,http://viaf.org/viaf/265864593/,,,,150,,1553,
202,8,8,Apollonius Dyscolus,Apollonius Dyscolus,-,Male,Alexandria,fl. 150,,,,http://viaf.org/viaf/111130260/,,Apollonius Alexandrinus,,150,,1535,
203,8,8,"Mercator, Marius",Marius,Mercator,Male,,c. 390,,after 451,,http://viaf.org/viaf/60905671/,,,,390,451.0,1673,
204,8,8,Theon of Smyrna,Theon of Smyrna,-,Male,Smyrna (İzmir),fl 100,,,,http://viaf.org/viaf/56588190/,,,,100,,1644,
205,8,8,Apollonius the Sophist,Apollonius the Sophist,-,Male,Alexandria,c. 100,,,,http://viaf.org/viaf/118025459/,,taught in Rome in the time of Tiberius.,,100,,1688,
206,7,7,Theodosius,-,Theodosius,Male,,fl. 1c BC,,,,,,,,50,,1707,
207,7,6,"Hozier, Charles-René d'",Charles-René d',Hozier,Male,,24-02-1640,,13-02-1732,,http://viaf.org/viaf/71392389/,,,,13,7.0,1634,
208,7,5,Publilius Syrus,Publilius Syrus,-,Male,,c. 90 BCE,,c. 40 BCE,,http://viaf.org/viaf/22130553/,,born Syria,,-90,-40.0,1610,
209,7,7,"Vauvenargues, Luc de Clapiers",Luc de,Clapiers Vauvenargues,Male,Aix-en-Provence,06-08-1715,Paris,28-05-1747,,http://viaf.org/viaf/64016636/,,,,7,16.0,1746,
210,7,7,Corinna,Corinna,-,Female,,fl. 5th cent. BCE,,,,http://viaf.org/viaf/7407161332389852420005/,,born Tanagra,,450,,1568,
211,6,6,"Ulpianus, Domitius",Domitius,Ulpianus,Male,,c. 160,,228,,http://viaf.org/viaf/100210035/,,,,160,228.0,1527,
212,6,6,"Ménard, Léon",Léon,Ménard,Male,Tarascon,12-09-1706,Paris,01-10-1767,,http://viaf.org/viaf/68932791/,,,,10,5.0,1743,
213,6,5,Ephrem the Syrian,Syrus,Ephrem,Male,Nusaybin,c. 306,Edessa,373,,http://viaf.org/viaf/100177778/,,,,306,373.0,1616,
214,6,6,Themistocles,Themistocles,-,Male,,c. 524 BCE,,c. 459 BCE,,,,born in the Attic deme of Phrearrhioi,,-524,-459.0,1620,
215,6,6,Onosander,Onodander,-,Male,,fl. 49,,,,http://viaf.org/viaf/285771738/,,,,49,,1599,
216,6,6,Praxilla of Sicyon,Praxilla of Sicyon,-,Female,Sicyone,fl. 5th cent. BCE,,,,http://viaf.org/viaf/44692841/,,,,450,,1568,
217,6,6,Iranaeus of Lyon (saint),Iraneus,-,Male,Smyrna (İzmir),c. 130,Lyon,c. 202,,http://viaf.org/viaf/70051641/,,bishop of Lyon,,130,202.0,1710,
218,6,6,Aelius Herodianus (grammarian),Aelius Herodianus,-,Male,Alexandria,c. 180,,c. 250,,http://viaf.org/viaf/88626271/,,Herodian,,180,250.0,1495,
219,5,5,Damasus I (Pope),Damasus,-,Male,,c. 305,Roma,384,,http://viaf.org/viaf/267405622/,,,,305,384.0,1672,
220,5,5,"Hurtaut, Pierre-Thomas-Nicolas",Pierre-Thomas-Nicolas,Hurtaut,Male,Paris,17-04-1719,Paris,05-05-1791,,http://viaf.org/viaf/69036462/,,,,10,5.0,1779,
221,5,4,"Boussanelle, Louis de",Louis de,Boussanelle,Male,,20-07-1720,Béziers,01-03-1788,,http://viaf.org/viaf/49563314/,,,,13,2.0,1758,
222,5,5,"Aubert, Jean-Louis (abbé)",Jean-Louis,Aubert,Male,,15-02-1731,,10-11-1814,,http://viaf.org/viaf/59116590/,,,,8,10.0,1756,
223,5,5,Nossis,Nossis,-,Female,,fl. 300 BCE,,,,,,,,-300,,1568,
224,4,3,"Festus, Rufus Sextus",Rufus Sextus,Festus,Male,,fl. 4th century,,,,http://viaf.org/viaf/79076696/,,,,350,,1560,
225,4,4,Sulpicia,Sulpicia,-,Female,,c. 50 BCE,,c. 1 BCE,,http://viaf.org/viaf/79413101/,,,,-50,-1.0,1585,
226,4,4,Aristarchus of Samos,Aristarchus of Samos,-,Male,Samos,c. 310 BCE,Alexandria,c. 230 BCE,,http://viaf.org/viaf/17144782942102632442/,,,,-310,-230.0,1562,
227,3,1,Ulfilas (bishop),Ulfilas,-,Male,,311,,383,,http://viaf.org/viaf/66477200/,,"Ulphilas
Orphila
Wulfila",,311,383.0,1671,
228,3,3,Babrius,Babrius,-,Male,,c. 100,,,,http://viaf.org/viaf/19646296/,,"Babrias (Βαβρίας) or Gabrias (Γαβρίας)
lived in the East, probably in Syria",,100,,1610,
229,3,3,Aeneas of Gaza,Aeneas of Gaza,-,Male,,c. 450,Gaza,c. 518,,http://viaf.org/viaf/85151247927244270006/,,,,450,518.0,1655,
230,3,3,"Mesnil-Durand, François-Jean de",François-Jean de,Mesnil-Durand,Male,,09-11-1729,,31-07-1799,,http://viaf.org/viaf/64125680/,,,,10,19.0,1755,
231,3,3,Quintus of Smyrna,Quintus of Smyrna,-,Male,Smyrna (İzmir),fl. 350,,,,http://viaf.org/viaf/822154381060730292426/,,,,350,,1800,
232,3,3,Hesychius of Jerusalem,Hesychius of Jerusalem,-,Male,,fl. 450,,,,http://viaf.org/viaf/262453640/,,,,450,,1563,
233,3,3,"Hesseln, Robert de",Robert de,Hesseln,Male,Foulquemont,21-03-1733,,,,http://viaf.org/viaf/66722879/,,,,12,,1771,
234,2,2,"Sacy, Claude-Louis-Michel de",Claude-Louis-Michel de,Sacy,Male,,27-03-1746,,15-10-1794,,http://viaf.org/viaf/7431477/,,,,15,12.0,1771,
235,2,2,"Mille, Antoine Étienne",Antoine Étienne,Mille,Male,,01-12-1735,,17..,,http://viaf.org/viaf/74199387/,,,,6,1750.0,1771,
236,2,2,"Drummond de Melfort, Louis Hector",Louis Hector,Drummond de Melfort,Male,,01-11-1722,,06-10-1788,,http://viaf.org/viaf/20573159/,,,,6,8.0,1776,
237,2,2,Benedict of Nursia (saint),Benedict of Nursia,-,Male,Norcia,c. 480,Montecassino,c. 543,,http://viaf.org/viaf/28147121748626392193/,,,,480,543.0,1689,
238,2,2,Coelius Sedulius,Caius Coelius,Sedulius,Male,,fl. 400,,,,http://viaf.org/viaf/537154380915430290267/,,,,400,,1789,
239,1,1,"Lydus, Johannes",Johannes,Lydus,Male,,0490,,0565?,,http://viaf.org/viaf/109213110/,,,,490,,1812,
240,1,1,"Brion, Charles de",Charles de,Brion,Male,Hautefontaine,13-11-1647,Paris,04-12-1728,,http://viaf.org/viaf/120721689/,,,,12,8.0,1720,
241,1,1,Eucherius of Lyon,-,Eucherius,Male,,370,,450,,http://viaf.org/viaf/90719515/,,,,370,450.0,1672,
242,1,1,Erinna,Erinna,-,Female,,4th cent. BCE,,,,,,,,350,,1568,
243,1,1,"Massieu, Guillaume",Guillaume,Massieu,Male,Caen,13-04-1665,Paris,26-09-1722,,http://viaf.org/viaf/73843977/,,,,8,17.0,1739,
244,1,1,Democritus,Democritus,-,Male,Abdera,c. 460 BCE,,c. 370 BCE,,http://viaf.org/viaf/49224361/,,,,-460,-370.0,1573,
245,0,0,Caesarius Arelatensis,_,Caesarius Arelatensis,Male,,c. 470,,542,,http://viaf.org/viaf/102305735/,,Bishop of Arles,,470,542.0,1760,
